RowID,Model,Caption Notes,annotator,video_path,Prompt,Question,Answer,Categorization-1,Categorization-2
68,Runawaygen2,,wxy,./Runawaygen2/1EvkyaV4VBnwoMjdv-_8Lxj_HXqoOCeDj.mp4,"A scientifically accurate animation of the Earth revolving around the Sun in its elliptical orbit. The Sun remains fixed at the center, glowing brightly, while the Earth orbits smoothly over the course of a full year. The Earth's axial tilt of 23.5 degrees is visible, causing seasonal changes. As the Earth moves, it also rotates on its axis, creating a realistic day-night cycle. The background is a vast space with stars, and the camera perspective follows the orbit from a heliocentric view, clearly showing the path of revolution.",Does this video feature a habitable planet?,"Yes, it includes one habitable planet, but the continents' shapes make it unclear if it's Earth.",Alignment,Common Sense - Knowledge
68,Runawaygen2,,wxy,./Runawaygen2/1EvkyaV4VBnwoMjdv-_8Lxj_HXqoOCeDj.mp4,"A scientifically accurate animation of the Earth revolving around the Sun in its elliptical orbit. The Sun remains fixed at the center, glowing brightly, while the Earth orbits smoothly over the course of a full year. The Earth's axial tilt of 23.5 degrees is visible, causing seasonal changes. As the Earth moves, it also rotates on its axis, creating a realistic day-night cycle. The background is a vast space with stars, and the camera perspective follows the orbit from a heliocentric view, clearly showing the path of revolution.",Are there any moving objects inside?,"Yes, their relative position and the sunrise effect indicate motion between two objects.",Spatial-temporal consistency,Spatial-temporal Consistency - Spatial Dynamics
68,Runawaygen2,,wxy,./Runawaygen2/1EvkyaV4VBnwoMjdv-_8Lxj_HXqoOCeDj.mp4,"A scientifically accurate animation of the Earth revolving around the Sun in its elliptical orbit. The Sun remains fixed at the center, glowing brightly, while the Earth orbits smoothly over the course of a full year. The Earth's axial tilt of 23.5 degrees is visible, causing seasonal changes. As the Earth moves, it also rotates on its axis, creating a realistic day-night cycle. The background is a vast space with stars, and the camera perspective follows the orbit from a heliocentric view, clearly showing the path of revolution.",Are any objects performing circular motion inside?,"No, there is no indication of objects performing circular motion based on the available context.",Physics,Physics - Motion
68,Runawaygen2,,wxy,./Runawaygen2/1EvkyaV4VBnwoMjdv-_8Lxj_HXqoOCeDj.mp4,"A scientifically accurate animation of the Earth revolving around the Sun in its elliptical orbit. The Sun remains fixed at the center, glowing brightly, while the Earth orbits smoothly over the course of a full year. The Earth's axial tilt of 23.5 degrees is visible, causing seasonal changes. As the Earth moves, it also rotates on its axis, creating a realistic day-night cycle. The background is a vast space with stars, and the camera perspective follows the orbit from a heliocentric view, clearly showing the path of revolution.",Does the described circular motion involve any internal objects?,"No, the context provided does not indicate any internal objects performing circular motion.",Alignment,Physics - Motion
68,Runawaygen2,,wxy,./Runawaygen2/1EvkyaV4VBnwoMjdv-_8Lxj_HXqoOCeDj.mp4,"A scientifically accurate animation of the Earth revolving around the Sun in its elliptical orbit. The Sun remains fixed at the center, glowing brightly, while the Earth orbits smoothly over the course of a full year. The Earth's axial tilt of 23.5 degrees is visible, causing seasonal changes. As the Earth moves, it also rotates on its axis, creating a realistic day-night cycle. The background is a vast space with stars, and the camera perspective follows the orbit from a heliocentric view, clearly showing the path of revolution.",Is there relative motion between objects inside a moving system?,"Yes, the phenomenon of the sun rising indicates relative motion between the planet and the sun.",Physics,Physics - Motion
68,Runawaygen2,,wxy,./Runawaygen2/1EvkyaV4VBnwoMjdv-_8Lxj_HXqoOCeDj.mp4,"A scientifically accurate animation of the Earth revolving around the Sun in its elliptical orbit. The Sun remains fixed at the center, glowing brightly, while the Earth orbits smoothly over the course of a full year. The Earth's axial tilt of 23.5 degrees is visible, causing seasonal changes. As the Earth moves, it also rotates on its axis, creating a realistic day-night cycle. The background is a vast space with stars, and the camera perspective follows the orbit from a heliocentric view, clearly showing the path of revolution.",The circular motion involved the relative motion between objects. Is there any relative motion bwtween moving objects inside?,Yes. The sun rising phenomenon indicating the relative motion betwen the planet and the sun.,Physics,Physics - Motion
71,Runawaygen2,,wxy,./Runawaygen2/1rHATPcmUpoKNP1spbqEFsYjd1bwvVPtu.mp4,"Generate the video showing a robot collides with a obstacle, top-down view",Does the video feature a robot at any point?,A robot appears in the center of the frame at the start but transforms and vanishes by the end.,Alignment,Spatial-temporal Consistency - Temporal Dynamics
71,Runawaygen2,,wxy,./Runawaygen2/1rHATPcmUpoKNP1spbqEFsYjd1bwvVPtu.mp4,"Generate the video showing a robot collides with a obstacle, top-down view",Is there a car in this video?,"There is a yellow bulky object resembling a vehicle, but its geometry and appearance do not match that of a typical car.",Common sense reasoning,Common Sense - Knowledge
71,Runawaygen2,,wxy,./Runawaygen2/1rHATPcmUpoKNP1spbqEFsYjd1bwvVPtu.mp4,"Generate the video showing a robot collides with a obstacle, top-down view",Are there any abnormalities in this video?,"The entity resembling the yellow car and the robot is inconsistent throughout the video. Objects resembling a human or robot change and eventually fade away. Additionally, the tower-like structure on the right also changes.",Spatial-temporal consistency,Spatial-temporal Consistency - Temporal Dynamics
71,Runawaygen2,,wxy,./Runawaygen2/1rHATPcmUpoKNP1spbqEFsYjd1bwvVPtu.mp4,"Generate the video showing a robot collides with a obstacle, top-down view",Is the road plain and smooth?,"No, there are areas breaking apart and a concrete barrier present.",Alignment,Alignment - Entity Properties
71,Runawaygen2,,wxy,./Runawaygen2/1rHATPcmUpoKNP1spbqEFsYjd1bwvVPtu.mp4,"Generate the video showing a robot collides with a obstacle, top-down view",Does the robot collide with any object in the video?,"No, there is no collision in the video.",Physics,Physics - Motion
71,Runawaygen2,,wxy,./Runawaygen2/1rHATPcmUpoKNP1spbqEFsYjd1bwvVPtu.mp4,"Generate the video showing a robot collides with a obstacle, top-down view",Does the car collide with anything in the video?,"No, the car does not collide and remains static throughout the video.",Physics,Spatial-temporal Consistency - Temporal Dynamics
71,Runawaygen2,,wxy,./Runawaygen2/1rHATPcmUpoKNP1spbqEFsYjd1bwvVPtu.mp4,"Generate the video showing a robot collides with a obstacle, top-down view",Is the shadow of the car correct?,No. The shadow of the car keep changing but does not resemble the geometry of the car if the light comes from the left.,Physics,Spatial-temporal Consistency - Temporal Dynamics
71,Runawaygen2,,wxy,./Runawaygen2/1rHATPcmUpoKNP1spbqEFsYjd1bwvVPtu.mp4,"Generate the video showing a robot collides with a obstacle, top-down view","We know that if the light source on the left of the image, the object's shadow, which should reflect the shape of the object, should go to the rigth of the image. Is the shadow of the car correct?",No. The shadow of the car keep changing but does not resemble the geometry of the car if the light comes from the left.,Physics,Spatial-temporal Consistency - Temporal Dynamics
72,Runawaygen2,,wxy,./Runawaygen2/1cgOHXPIobqh2Wq8pokLpi3C9zYyiDkpS.mp4,Dew drops on leaves in the morning,Was this video taken during the day?,"Yes, considering the background illumination.",Alignment,Common Sense - Knowledge
72,Runawaygen2,,wxy,./Runawaygen2/1cgOHXPIobqh2Wq8pokLpi3C9zYyiDkpS.mp4,Dew drops on leaves in the morning,Was this video shot with a fixed focal length?,"No, due to the changing focus on the dew and leaf over time.",Spatial-temporal consistency,Spatial-temporal Consistency - Camera Dynamics
72,Runawaygen2,,wxy,./Runawaygen2/1cgOHXPIobqh2Wq8pokLpi3C9zYyiDkpS.mp4,Dew drops on leaves in the morning,What is the abnormality observed in the video?,The dew on the underside of the stem should drip down instead of remaining static and spherical.,Physics,Physics - Motion
72,Runawaygen2,,wxy,./Runawaygen2/1cgOHXPIobqh2Wq8pokLpi3C9zYyiDkpS.mp4,Dew drops on leaves in the morning,Is there anything abnormal about the shape of the dew?,"Yes, the dew on the lower side of the stem should drop down instead of remaining static and spherical.",Physics,Physics - Constraints and Properties
72,Runawaygen2,,wxy,./Runawaygen2/1cgOHXPIobqh2Wq8pokLpi3C9zYyiDkpS.mp4,Dew drops on leaves in the morning,Are the dew drops on the stem and leaves spherical in this video?,"Yes, all observable dew drops are spherical in this video.",Physics,Alignment - Entity Properties
72,Runawaygen2,,wxy,./Runawaygen2/1cgOHXPIobqh2Wq8pokLpi3C9zYyiDkpS.mp4,Dew drops on leaves in the morning,Are the dew drops on the stems and leaves in this video spherical?,"Yes, all observable dew drops are spherical in this video, which contradicts the expectation that gravity should flatten those on the upper side and cause those on the lower side to fall down.",Physics,Physics - Motion
73,Runawaygen2,,wxy,./Runawaygen2/15XZxz6iaD_qsf2v_p95td7XsLWphW_uu.mp4,Generate a lighthouse and a flying seagull in the sky,How many birds are in the video?,Six.,Alignment,Alignment - Entity Counting
73,Runawaygen2,,wxy,./Runawaygen2/15XZxz6iaD_qsf2v_p95td7XsLWphW_uu.mp4,Generate a lighthouse and a flying seagull in the sky,Does the seagull in the front appear normal?,"No, its shape changes over time, including the black stripe on its head and the shape of its tail.",Spatial-temporal consistency,Spatial-temporal Consistency - Temporal Dynamics
73,Runawaygen2,,wxy,./Runawaygen2/15XZxz6iaD_qsf2v_p95td7XsLWphW_uu.mp4,Generate a lighthouse and a flying seagull in the sky,Does the weather change over time?,"Yes, it starts cloudy and becomes sunnier later.",Spatial-temporal consistency,Spatial-temporal Consistency - Temporal Dynamics
73,Runawaygen2,,wxy,./Runawaygen2/15XZxz6iaD_qsf2v_p95td7XsLWphW_uu.mp4,Generate a lighthouse and a flying seagull in the sky,Are the clouds in motion?,"Yes, the clouds exhibit relative motion against the lighthouse, indicating movement over time.",Spatial-temporal consistency,Spatial-temporal Consistency - Temporal Dynamics
73,Runawaygen2,,wxy,./Runawaygen2/15XZxz6iaD_qsf2v_p95td7XsLWphW_uu.mp4,Generate a lighthouse and a flying seagull in the sky,Does the position of the seagull relative to the lighthouse change over time?,"No, the relative position of the seagull and the lighthouse does not change.",Spatial-temporal consistency,Spatial-temporal Consistency - Spatial Dynamics
73,Runawaygen2,,wxy,./Runawaygen2/15XZxz6iaD_qsf2v_p95td7XsLWphW_uu.mp4,Generate a lighthouse and a flying seagull in the sky,Does the relative position of the seagull in front of the lighthouse change over time?,"No, the relative position of the seagull and the lighthouse does not change much during the observed period.",Spatial-temporal consistency,Spatial-temporal Consistency - Spatial Dynamics
74,Runawaygen2,,wxy,./Runawaygen2/185xERpUuOjyy7hDJiuEpGVFQUw69tqJx.mp4,Generate an alligator driving a car,How many eyes does the alligator have?,"One, but it has another feature on its face resembling an eye.",Alignment,Alignment - Entity Counting
74,Runawaygen2,,wxy,./Runawaygen2/185xERpUuOjyy7hDJiuEpGVFQUw69tqJx.mp4,Generate an alligator driving a car,How many front seats are in the car shown in the video?,"One, which is unusual since typical cars have two front seats.",Common sense reasoning,Common Sense - Knowledge
74,Runawaygen2,,wxy,./Runawaygen2/185xERpUuOjyy7hDJiuEpGVFQUw69tqJx.mp4,Generate an alligator driving a car,How many front seats are in the car shown in the video?,"One, which is unusual since typical cars have two front seats.",Common sense reasoning,Common Sense - Knowledge
74,Runawaygen2,,wxy,./Runawaygen2/185xERpUuOjyy7hDJiuEpGVFQUw69tqJx.mp4,Generate an alligator driving a car,How many arms does an alligator use to hold the steering wheel?,One,Alignment,Alignment - Entity Counting
74,Runawaygen2,,wxy,./Runawaygen2/185xERpUuOjyy7hDJiuEpGVFQUw69tqJx.mp4,Generate an alligator driving a car,What is the direction of the light source in this video?,"Left, as the left side of the alligator and the car is illuminated towards the video's end.",Alignment,Physics - Constraints and Properties
74,Runawaygen2,,wxy,./Runawaygen2/185xERpUuOjyy7hDJiuEpGVFQUw69tqJx.mp4,Generate an alligator driving a car,What is the weather depicted in the video?,"Cloudy, indicated by the presence of clouds and low light conditions.",Alignment,Common Sense - Knowledge
75,Runawaygen2,,wxy,./Runawaygen2/1lkBQEbBQLhztnfI_bmrQ85nrwVtp3s1c.mp4,"generate a cat sitting in front of a window, watching a dog playing in the garden",Is a dog visible in the video?,"No, there are only two cats.",Alignment,Alignment - Entity Recognition and Classification
75,Runawaygen2,,wxy,./Runawaygen2/1lkBQEbBQLhztnfI_bmrQ85nrwVtp3s1c.mp4,"generate a cat sitting in front of a window, watching a dog playing in the garden",Does the video show a garden?,"Yes, a tree visible through the window suggests a garden outside, though it's not directly shown.",Alignment,Common Sense - Knowledge
75,Runawaygen2,,wxy,./Runawaygen2/1lkBQEbBQLhztnfI_bmrQ85nrwVtp3s1c.mp4,"generate a cat sitting in front of a window, watching a dog playing in the garden",Does the video contain glass?,"Yes, as evidenced by the reflection of cats and the presence of a window.",Alignment,Alignment - Entity Properties
75,Runawaygen2,,wxy,./Runawaygen2/1lkBQEbBQLhztnfI_bmrQ85nrwVtp3s1c.mp4,"generate a cat sitting in front of a window, watching a dog playing in the garden",Is there wind in the video?,"Yes, as shown by the movement of the tree in the background.",Physics,Spatial-temporal Consistency - Temporal Dynamics
75,Runawaygen2,,wxy,./Runawaygen2/1lkBQEbBQLhztnfI_bmrQ85nrwVtp3s1c.mp4,"generate a cat sitting in front of a window, watching a dog playing in the garden",What abnormalities are present in the cat on the right?,The cat's head shape changes and its body inflates throughout the video.,Spatial-temporal consistency,Spatial-temporal Consistency - Temporal Dynamics
76,Runawaygen2,,wxy,./Runawaygen2/1o_vRtC1QuH5JcN7nl5Mr3K_d9HrUW4Wt.mp4,a man and a woman riding a horse,How many people are in the video?,Two,Alignment,Alignment - Entity Counting
76,Runawaygen2,,wxy,./Runawaygen2/1o_vRtC1QuH5JcN7nl5Mr3K_d9HrUW4Wt.mp4,a man and a woman riding a horse,Is there a man inside?,"No, there is only a woman riding a horse.",Alignment,Alignment - Entity Recognition and Classification
76,Runawaygen2,,wxy,./Runawaygen2/1o_vRtC1QuH5JcN7nl5Mr3K_d9HrUW4Wt.mp4,a man and a woman riding a horse,Where is the camera positioned?,"On the side of the horse, indicated by the orientation of the woman's eyes and face in the video.",Alignment,Spatial-temporal Consistency - Camera Dynamics
76,Runawaygen2,,wxy,./Runawaygen2/1o_vRtC1QuH5JcN7nl5Mr3K_d9HrUW4Wt.mp4,a man and a woman riding a horse,In which direction is the horse moving?,To the right side of the frame.,Alignment,Spatial-temporal Consistency - Spatial Dynamics
78,Runawaygen2,,wxy,./Runawaygen2/19MBOqYin0oiaRAK-gNr0th0z5ldkvLd7.mp4,Generate a man drinking up a cup of coffee,How many hands does a person use to operate a cup?,Two,Alignment,Alignment - Entity Counting
78,Runawaygen2,,wxy,./Runawaygen2/19MBOqYin0oiaRAK-gNr0th0z5ldkvLd7.mp4,Generate a man drinking up a cup of coffee,Is the liquid flowing from the cup held in the right hand?,"No, the video suggests that the liquid-like entity is mostly static.",Physics,Spatial-temporal Consistency - Temporal Dynamics
78,Runawaygen2,,wxy,./Runawaygen2/19MBOqYin0oiaRAK-gNr0th0z5ldkvLd7.mp4,Generate a man drinking up a cup of coffee,How many coffee cups are there in total?,Two,Alignment,Alignment - Entity Counting
78,Runawaygen2,,wxy,./Runawaygen2/19MBOqYin0oiaRAK-gNr0th0z5ldkvLd7.mp4,Generate a man drinking up a cup of coffee,What object is the man observing?,"He is looking at his left hand, based on the orientation of his eye and head.",Alignment,Alignment - Spatial Relationships
78,Runawaygen2,,wxy,./Runawaygen2/19MBOqYin0oiaRAK-gNr0th0z5ldkvLd7.mp4,Generate a man drinking up a cup of coffee,Is the man stirring the coffee with a spoon?,"Yes, using his right hand.",Alignment,Spatial-temporal Consistency - Temporal Dynamics
78,Runawaygen2,,wxy,./Runawaygen2/19MBOqYin0oiaRAK-gNr0th0z5ldkvLd7.mp4,Generate a man drinking up a cup of coffee,Is the right cup clearly visible in the frame?,"No, the right cup is ambiguous despite the clarity of objects in front and behind it.",Spatial-temporal consistency,Spatial-temporal Consistency - Spatial Dynamics
79,Runawaygen2,,wxy,./Runawaygen2/1aBV3kZL7rBoKQ_By9DSufDoJTrMpsIq3.mp4,Generate a man drinking up a cup of wine,Is the man in the video drinking wine?,"No, he is just holding the wine glass.",Alignment,Common Sense - Reasoning
79,Runawaygen2,,wxy,./Runawaygen2/1aBV3kZL7rBoKQ_By9DSufDoJTrMpsIq3.mp4,Generate a man drinking up a cup of wine,Is the wine glass full?,"No, it contains only a little wine.",Alignment,Alignment - Entity Properties
79,Runawaygen2,,wxy,./Runawaygen2/1aBV3kZL7rBoKQ_By9DSufDoJTrMpsIq3.mp4,Generate a man drinking up a cup of wine,Is the man going to drink the wine?,"No, he is holding the glass with its rim above his mouth.",Alignment,Spatial-temporal Consistency - Temporal Dynamics
79,Runawaygen2,,wxy,./Runawaygen2/1aBV3kZL7rBoKQ_By9DSufDoJTrMpsIq3.mp4,Generate a man drinking up a cup of wine,What does the man's behavior in the video suggest about his focus?,His posture indicates he is concentrating on evaluating the wine's aroma and flavor.,Alignment,Common Sense - Reasoning
79,Runawaygen2,,wxy,./Runawaygen2/1aBV3kZL7rBoKQ_By9DSufDoJTrMpsIq3.mp4,Generate a man drinking up a cup of wine,Could the man smell the flavor of the wine given the video?,"No, he should hold the glass at a lower postions to smell the flavor by allowing his nose locating above the glass.",Common sense reasoning,Common Sense - Reasoning
